rank,track_name,artist_name,listeners,mbid,url,date,country
139,Por Supuesto,Marina Sena,16540,6f958b07-caf1-4282-ba11-e0c7d00ff020,https://www.last.fm/music/Marina+Sena/_/Por+Supuesto,2026-04-19,Brazil
140,Judas,Lady Gaga,16539,0123f8e5-fb17-3b29-ae14-76454d46aa72,https://www.last.fm/music/Lady+Gaga/_/Judas,2026-04-19,Brazil
141,bad idea right?,Olivia Rodrigo,16513,598eb829-d17d-4d12-bb4f-d7d9e4ae1525,https://www.last.fm/music/Olivia+Rodrigo/_/bad+idea+right%3F,2026-04-19,Brazil
142,Lonely Day,System of a Down,16461,04391bbe-900b-4b44-b2db-1bd58ef8db0c,https://www.last.fm/music/System+of+a+Down/_/Lonely+Day,2026-04-19,Brazil
143,like JENNIE,Jennie,16456,1e35cc2f-e6da-4496-8917-98a8fdd3a383,https://www.last.fm/music/Jennie/_/like+JENNIE,2026-04-19,Brazil
144,Ribs,Lorde,16450,0262883c-af38-47d5-83cb-7b2c0839c250,https://www.last.fm/music/Lorde/_/Ribs,2026-04-19,Brazil
145,ARE WE STILL FRIENDS?,"Tyler, The Creator",16426,09884f35-fd29-405a-88af-e192200da238,"https://www.last.fm/music/Tyler,+The+Creator/_/ARE+WE+STILL+FRIENDS%3F",2026-04-19,Brazil
146,I'M ACTUALLY KINDA FAMOUS,Slayyyter,16337,5fff70a4-994c-41fe-8857-f319ff59a442,https://www.last.fm/music/Slayyyter/_/I%27M+ACTUALLY+KINDA+FAMOUS,2026-04-19,Brazil
147,Sports car,Tate McRae,16315,62cabe70-9c46-4d9a-899c-91c361b679d8,https://www.last.fm/music/Tate+McRae/_/Sports+car,2026-04-19,Brazil
148,Goodbye,Sabrina Carpenter,16241,7954d773-9ebe-4578-9910-a61d02c60032,https://www.last.fm/music/Sabrina+Carpenter/_/Goodbye,2026-04-19,Brazil
149,505,Arctic Monkeys,16223,00d0985d-278e-4a72-b959-fc184a1ce990,https://www.last.fm/music/Arctic+Monkeys/_/505,2026-04-19,Brazil
150,Earrings,Malcolm Todd,16211,,https://www.last.fm/music/Malcolm+Todd/_/Earrings,2026-04-19,Brazil
151,Why'd You Only Call Me When You're High?,Arctic Monkeys,16166,0010ad5c-c128-4603-b85e-5cb433e6e00d,https://www.last.fm/music/Arctic+Monkeys/_/Why%27d+You+Only+Call+Me+When+You%27re+High%3F,2026-04-19,Brazil
152,Catch Catch,Yena,16055,a7d9356c-bd53-4d15-86c9-d9799047bda1,https://www.last.fm/music/Yena/_/Catch+Catch,2026-04-19,Brazil
153,Chop Suey!,System of a Down,16052,0382e4e0-2c6f-49a4-9c02-16e1043b635c,https://www.last.fm/music/System+of+a+Down/_/Chop+Suey%21,2026-04-19,Brazil
154,UNKNOWN LOVERZ,Slayyyter,16013,b1e63610-866a-4963-8799-8b86d7a25dd0,https://www.last.fm/music/Slayyyter/_/UNKNOWN+LOVERZ,2026-04-19,Brazil
155,$T. LOSER,Slayyyter,16002,17c4a5c7-4cca-4081-b1a9-7105b274f324,https://www.last.fm/music/Slayyyter/_/$T.+LOSER,2026-04-19,Brazil
