date,artist_name,track_name,track_playcount,track_listeners,track_rank
2026-04-22,MC Meno K,Vou Te Botar,182226,38798,3
2026-04-22,MC Meno K,Bola Uma Vela (Trava Chip),99743,32518,4
2026-04-22,MC Meno K,A Firma Segue Lucrando,152006,31584,5
2026-04-22,MC Meno K,Camisa do Flamengo,108637,27915,6
2026-04-22,MC Meno K,Lembrei De Tu,111341,26553,7
2026-04-22,MC Meno K,Camisa Do Grêmio,92146,22384,8
2026-04-22,MC Meno K,Procedimento da Casa,110518,16093,9
2026-04-22,MC Meno K,Senta Poca,42740,14250,10
2026-04-22,MC Menor ZL,Chapa nas Bebê do Trecho,6836,1604,1
2026-04-22,MC Menor ZL,Por Favor Não Chora,5116,1333,2
2026-04-22,MC Menor ZL,Porque Tem Que Ser Assim,2400,499,3
2026-04-22,MC Menor ZL,Alô Mãe,1925,422,4
2026-04-22,MC Menor ZL,Contratempo,1572,337,5
2026-04-22,MC Menor ZL,ELA PAGA DE BANDIDA,647,296,6
2026-04-22,MC Menor ZL,Pelo Cifrão,1095,278,7
2026-04-22,MC Menor ZL,Morena Linda,503,196,8
2026-04-22,MC Menor ZL,Sorriso no Rosto,625,146,9
2026-04-22,MC Menor ZL,Malandrão,343,113,10
2026-04-22,Mc Morena,Automotivo Solitude,621375,85429,1
